index,value
1 prim, 88
2 seg, 84
3 terc, 85
4 quart, 85
5 quint, 84
6 sext, 85
7 se, 83
8 oit, 85
9 non, 88
10 dec, 89
11 decp, 91
12 dexs, 99
13 dect, 104
14 decq, 112
15 decqu, 126
16 decs, 138
17 decs, 146
18 decoi, 151
19 decmn, 150
20 num, 148
21 num, 147
22 num, 149
23 num, 143
24 num, 132
25 num, 131
26 num, 139
27 num, 147
28 num, 150
29 num, 148
30 num, 145
31 num, 140
32 num, 134
33 num, 131
34 num, 131
35 num, 129
36 num, 126
37 num, 126
38 num, 132
39 num, 137
40 num, 140
41 num, 142
42 num, 150
43 num, 159
44 num, 167
45 num, 170
46 num, 171
47 num, 172
48 num, 172
49 num, 174
50 num, 175
51 num, 172
52 num, 172
53 num, 174
54 num, 174
55 num, 169
56 num, 165
57 num, 156
58 num, 142
59 num, 131
60 num, 121
61 num, 112
62 num, 104
63 num, 102
64 num, 99
65 num, 99
66 num, 95
67 num, 88
68 num, 84
69 num, 84
70 num, 87
71 num, 89
72 num, 88
73 num, 85
74 num, 86
75 num, 89
76 num, 91
77 num, 91
78 num, 94
79 num, 101
80 num, 110
81 num, 121
82 num, 135
83 num, 145
84 num, 149
85 num, 156
86 num, 165
87 num, 171
88 num, 175
89 num, 177
90 num, 182
91 num, 193
92 num, 204
93 num, 208
94 num, 210
95 num, 215
96 num, 222
97 num, 228
98 num, 226
99 num, 222
100 num, 220
